City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Tiksi,RU,-11.85,overcast clouds,71.6872,128.8694,Арктика
220,Ostrovnoy,RU,28.26,overcast clouds,68.0531,39.5131,No hotel found
221,Bathsheba,BB,79.41,light rain,13.2167,-59.5167,Atlantis Hotel
222,Sikeston,US,31.89,clear sky,36.8767,-89.5879,Holiday Inn Express & Suites Sikeston
223,Upernavik,GL,6.35,overcast clouds,72.7868,-56.1549,No hotel found
224,Pangody,RU,-9.67,scattered clouds,65.85,74.4859,Газпром энерго
225,Nelson Bay,AU,66.99,moderate rain,-32.7167,152.15,No hotel found
226,Saint George,US,37.99,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
227,Namatanai,PG,81.48,overcast clouds,-3.6667,152.4333,Namatanai Hotel
228,Omboue,GA,83.77,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
229,Genhe,CN,-21.03,overcast clouds,50.7833,121.5167,No hotel found
230,Egvekinot,RU,19.56,light snow,66.3167,-179.1667,No hotel found
231,Mega,ET,75.31,broken clouds,4.05,38.3,No hotel found
232,Vila Velha,BR,75.15,thunderstorm with light rain,-20.3297,-40.2925,Hotel Prainha
233,Grottaferrata,IT,51.91,clear sky,41.7836,12.6757,Borgo Dei Castelli
234,Alyangula,AU,86.2,overcast clouds,-13.8483,136.4192,No hotel found
235,Zhangye,CN,26.85,broken clouds,38.9342,100.4517,Zhangye Hotel 张掖饭店
236,Sao Joao Da Barra,BR,74.95,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
237,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Hôtel 6500 CFA
238,Seoul,KR,29.59,clear sky,37.5683,126.9778,뉴국제호텔
239,Narsaq,GL,28.62,broken clouds,60.9167,-46.05,Hotel Narsaq
240,Beringovskiy,RU,32.83,light snow,63.05,179.3167,No hotel found
241,Codo,BR,72.21,overcast clouds,-4.4553,-43.8856,No hotel found
242,Larap,PH,79.07,moderate rain,14.299,122.6504,Hotel Bienvinido
243,San Quintin,MX,54.66,clear sky,30.4833,-115.95,Jardines Hotel
244,Adamus,RO,35.89,broken clouds,46.3,24.2333,No hotel found
245,Saskylakh,RU,-34.49,scattered clouds,71.9167,114.0833,No hotel found
246,Victoria,HK,64.26,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
247,Kathu,TH,84.02,overcast clouds,7.9178,98.3332,Tinidee Hotel
248,La Rioja,ES,31.78,scattered clouds,42.25,-2.5,No hotel found
249,Pevek,RU,25.14,overcast clouds,69.7008,170.3133,No hotel found
250,Nizhniy Ufaley,RU,12.31,overcast clouds,55.9153,59.9842,No hotel found
251,Half Moon Bay,US,52.75,overcast clouds,37.4636,-122.4286,Half Moon Bay Inn
252,Tuktoyaktuk,CA,-5.44,overcast clouds,69.4541,-133.0374,Hunter's B&B
253,Hargeysa,SO,73.53,clear sky,9.56,44.065,No hotel found
254,Bagaces,CR,71.15,overcast clouds,10.5271,-85.2548,El Greco
255,Mossendjo,CG,75.54,overcast clouds,-2.9506,12.7261,Louesse Palace
256,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,No hotel found
257,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
258,Surab,PK,64.58,broken clouds,28.4914,66.2585,No hotel found
259,Meadow Lake,US,43.12,clear sky,34.8014,-106.5436,No hotel found
260,Strezhevoy,RU,-8.68,broken clouds,60.7333,77.5889,"Гостиница ""Сибирячка"""
261,Yarada,IN,89.92,haze,17.65,83.2667,No hotel found
262,Avera,US,38.71,clear sky,33.194,-82.5271,No hotel found
263,Visby,SE,37.62,few clouds,57.6409,18.296,Hotell Gute
264,Buraydah,SA,68.45,broken clouds,26.326,43.975,دنا للوحدات السكنية
265,Havelock,US,48.18,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
266,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,Ibis Styles
267,Gushikawa,JP,67.23,overcast clouds,26.3544,127.8686,No hotel found
268,Acapulco,MX,76.53,overcast clouds,16.8634,-99.8901,Hotel del Valle
269,Kununurra,AU,98.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
270,Bethel,US,38.48,few clouds,41.3712,-73.414,Hampton Inn Danbury
271,Hay River,CA,-13.02,scattered clouds,60.8156,-115.7999,No hotel found
272,Tevaitoa,PF,80.01,scattered clouds,-16.7833,-151.5,Chambre d'hote
273,Gore,NZ,50.38,overcast clouds,-46.1028,168.9436,No hotel found
274,Ziarat,PK,54.34,overcast clouds,30.3823,67.7282,No hotel found
275,Itapolis,BR,67.77,few clouds,-21.5956,-48.8128,No hotel found
276,Tautira,PF,78.37,light rain,-17.7333,-149.15,No hotel found
277,Copiapo,CL,56.89,clear sky,-27.3667,-70.3333,Hotel Il Riposo
278,Sorland,NO,40.86,scattered clouds,67.667,12.6934,Fagmek Resorts
279,Piacabucu,BR,75.06,overcast clouds,-10.4056,-36.4344,O Leão
280,Timiryazevskiy,RU,5.95,broken clouds,56.49,84.8769,Ковчег
281,Marienburg,PL,36.9,overcast clouds,54.0359,19.0266,Stary Malbork
282,Kolo,PL,32.18,overcast clouds,52.2002,18.6387,Sara
283,Makhachkala,RU,48.18,overcast clouds,42.9764,47.5024,Hotel-Villa
284,Gamba,GA,81.55,overcast clouds,-2.65,10.0,No hotel found
285,Saldanha,ZA,77.05,broken clouds,-33.0117,17.9442,Hoedjesbaai
286,Kaniama,CD,72.7,overcast clouds,-7.5667,24.1833,No hotel found
287,Chernyshevskiy,RU,-15.68,overcast clouds,63.0128,112.4714,No hotel found
288,Rabo De Peixe,PT,58.51,scattered clouds,37.8,-25.5833,Pedras do Mar Resort & Spa
289,Torbay,CA,31.57,scattered clouds,47.6666,-52.7314,No hotel found
290,Braunau,CZ,34.14,overcast clouds,50.5857,16.3318,Hotel Praha
291,Tete,MZ,86.14,scattered clouds,-16.1564,33.5867,Zambezi Hotel
292,Lazaro Cardenas,MX,74.68,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
294,Manggar,ID,82.36,light rain,-2.8833,108.2667,No hotel found
295,Umm Lajj,SA,79.18,clear sky,25.0213,37.2685,No hotel found
296,Aklavik,CA,3.42,overcast clouds,68.2191,-135.0107,No hotel found
297,Esna,EG,71.62,broken clouds,25.2934,32.554,No hotel found
298,Muscat,OM,84.22,overcast clouds,23.6139,58.5922,البطاشي
299,Iznoski,RU,23.56,overcast clouds,54.9881,35.3108,No hotel found
300,El Tigre,VE,68.13,clear sky,8.8875,-64.2454,Hotel La Llovizna
301,Amuntai,ID,78.89,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
302,Ithaca,US,32.7,overcast clouds,42.4406,-76.4966,Hilton Garden Inn
303,Vesele,UA,37.87,overcast clouds,47.0148,34.915,No hotel found
304,Emerald,AU,65.34,scattered clouds,-23.5333,148.1667,Emerald Central Hotel
305,Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Choshi Plaza Hotel
306,Biak,ID,80.4,overcast clouds,-0.9131,122.8766,No hotel found
308,Imatra,FI,31.1,overcast clouds,61.1719,28.7524,Center Hotel Imatra
309,Songea,TZ,67.35,light rain,-10.6833,35.65,No hotel found
310,Ereymentau,KZ,1.51,overcast clouds,51.6199,73.1033,Достык
311,Zhuhai,CN,58.78,scattered clouds,22.2769,113.5678,No hotel found
312,San Carlos De Bariloche,AR,35.35,clear sky,-41.1456,-71.3082,Kronos
313,Chara,RU,-18.17,overcast clouds,56.9064,118.2631,No hotel found
314,Ilulissat,GL,21.22,overcast clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
315,Karambakkudi,IN,85.42,overcast clouds,10.4667,79.1333,No hotel found
316,Kalaleh,IR,55.0,mist,37.3807,55.4916,No hotel found
317,Okha,RU,1.65,light snow,53.5739,142.9478,Сфера
318,Praia Da Vitoria,PT,56.75,broken clouds,38.7333,-27.0667,Salles
319,Fortuna,US,46.92,moderate rain,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
320,Havre-Saint-Pierre,CA,35.96,moderate rain,50.2334,-63.5986,Complexe MV
321,Rawson,AR,57.25,clear sky,-43.3002,-65.1023,Hotel Deportivo
322,Sinnamary,GF,76.19,broken clouds,5.3833,-52.95,Hôtel du fleuve
323,Filadelfia,US,37.87,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
324,Volot,RU,20.77,few clouds,57.9278,30.7025,No hotel found
325,Wamba,NG,87.17,scattered clouds,8.9333,8.6,No hotel found
326,Lucea,JM,76.86,few clouds,18.451,-78.1736,Blue Paloma Bed And Breakfast
327,Cidreira,BR,71.56,overcast clouds,-30.1811,-50.2056,Hotel Castelo
328,Maniitsoq,GL,15.44,scattered clouds,65.4167,-52.9,Hotel Heilmann Lyberth
329,Nizhniy Tsasuchey,RU,4.51,overcast clouds,50.5167,115.1333,No hotel found
330,Russell,US,42.4,clear sky,32.3502,-85.1999,No hotel found
331,Boca Do Acre,BR,72.37,overcast clouds,-8.7522,-67.3978,No hotel found
332,Kiunga,PG,75.63,overcast clouds,-6.1219,141.2906,No hotel found
333,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,Waterford Hotel
334,Guzelyurt,TR,52.61,broken clouds,38.2772,34.3719,Hotel Karballa
335,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Page 63 hostel
336,Geraldton,AU,73.81,broken clouds,-28.7667,114.6,Ocean Centre Hotel
337,Ahipara,NZ,59.09,overcast clouds,-35.1667,173.1667,YHA Ahipara
338,Poum,NC,82.06,overcast clouds,-20.2333,164.0167,No hotel found
339,Leh,IN,30.87,scattered clouds,34.1667,77.5833,Kang Lha Chen
340,Honningsvag,NO,35.35,overcast clouds,70.9821,25.9704,Scandic Honningsvåg
341,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
342,Iracoubo,GF,75.97,broken clouds,5.4802,-53.2011,No hotel found
343,Vanavara,RU,-17.43,broken clouds,60.34,102.2797,No hotel found
344,Emmett,US,42.22,overcast clouds,43.8735,-116.4993,No hotel found
345,Krasnyy Oktyabr,RU,19.74,broken clouds,56.1167,38.8833,Спутник
346,Sovetskaya Gavan,RU,0.72,few clouds,48.9723,140.2878,Гостинный Двор
347,Kharp,RU,-4.34,few clouds,66.8014,65.8081,Собь
